year,sim_year,COSA_R1,COSA_R2,COSA_R3,COSA_R4,COSA_R5,COSA_R6,COSA_C1,COSA_C2,COSA_C3,COSA_C4,COSA_C5,wholesale
2010,0,0.142417864,0.139451806,0.138259106,0.138274799,0.112971158,0.092616338,0.154791152,0.153493502,0.160966625,0.147689549,0.103882355,0.070422906
2011,1,0.142417864,0.139451806,0.138259106,0.138274799,0.112971158,0.092616338,0.154791152,0.153493502,0.160966625,0.147689549,0.103882355,0.069247468
2012,2,0.154989916,0.151726068,0.150500236,0.150516366,0.122903873,0.100789414,0.168460806,0.16701941,0.175158344,0.160674803,0.113061481,0.059686456
2013,3,0.177070339,0.173493622,0.172055366,0.17207429,0.150439834,0.117015558,0.191991068,0.190426255,0.186953738,0.164293927,0.135726415,0.055067103
2014,4,0.178498903,0.174895692,0.173469005,0.17348636,0.151891819,0.118470074,0.193474703,0.191931955,0.20345607,0.18073934,0.150416922,0.044685134
2015,5,0.216292371,0.212130843,0.210479649,0.210499958,0.180831614,0.146366885,0.233704961,0.231810249,0.23670665,0.213207228,0.175710013,0.049449911
2016,6,0.231478071,0.227045139,0.225284809,0.225306554,0.200537873,0.157018476,0.250022858,0.248009406,0.2530591,0.230344452,0.177864013,0.04598798
2017,7,0.231601157,0.227607641,0.226001783,0.226022913,0.203734315,0.164548122,0.248260616,0.246513453,0.2533104,0.232199046,0.179469095,0.056325761
2018,8,0.234632143,0.230754943,0.229195857,0.229216371,0.207576956,0.169532109,0.250806375,0.2491101,0.253813,0.233323434,0.185364804,0.063617929
2019,9,0.232770471,0.228932043,0.227388549,0.227408858,0.205985836,0.168321437,0.248782961,0.247103649,0.2497563,0.231450531,0.183551276,0.050711496
2020,10,0.233494858,0.229644485,0.228096186,0.228116559,0.206626869,0.168845257,0.249557179,0.247872641,0.250533547,0.23217081,0.184122492,0.050513957
2021,11,0.234221499,0.230359143,0.228806026,0.228826462,0.207269896,0.169370707,0.250333806,0.248644025,0.251313212,0.23289333,0.184695485,0.050317188
2022,12,0.234950401,0.231076025,0.229518075,0.229538575,0.207914924,0.169897792,0.25111285,0.249417811,0.252095304,0.233618099,0.185270261,0.050121186
2023,13,0.235681571,0.231795139,0.23023234,0.230252904,0.208561959,0.170426518,0.251894318,0.250194004,0.25287983,0.234345123,0.185846826,0.049925947
2024,14,0.236415017,0.23251649,0.230948828,0.230969455,0.209211008,0.170956889,0.252678219,0.250972613,0.253666797,0.23507441,0.186425185,0.049731469
2025,15,0.237150746,0.233240086,0.231667546,0.231688237,0.209862077,0.17148891,0.253464558,0.251753645,0.254456213,0.235805966,0.187005344,0.049537748
2026,16,0.237888764,0.233965934,0.2323885,0.232409256,0.210515173,0.172022587,0.254253345,0.252537107,0.255248086,0.236539799,0.187587308,0.049344782
2027,17,0.238629078,0.234694041,0.233111698,0.233132518,0.2111703,0.172557925,0.255044587,0.253323008,0.256042424,0.237275916,0.188171084,0.049152568
2028,18,0.239371697,0.235424413,0.233837146,0.233858031,0.211827466,0.173094928,0.255838291,0.254111354,0.256839233,0.238014324,0.188756676,0.048961102
2029,19,0.240116626,0.236157059,0.234564852,0.234585802,0.212486678,0.173633603,0.256634465,0.254902154,0.257638522,0.238755029,0.189344091,0.048770382
2030,20,0.240863874,0.236891985,0.235294823,0.235315838,0.213147941,0.174173955,0.257433117,0.255695415,0.258440298,0.23949804,0.189933334,0.048580405
2031,21,0.241613448,0.237629197,0.236027065,0.236048146,0.213811261,0.174715988,0.258234254,0.256491144,0.25924457,0.240243363,0.19052441,0.048391168
2032,22,0.242365354,0.238368704,0.236761586,0.236782732,0.214476646,0.175259707,0.259037884,0.25728935,0.260051344,0.240991005,0.191117326,0.048202668
2033,23,0.2431196,0.239110513,0.237498393,0.237519605,0.215144102,0.175805119,0.259844015,0.25809004,0.260860629,0.241740974,0.191712087,0.048014903
2034,24,0.243876193,0.239854629,0.238237493,0.238258771,0.215813635,0.176352228,0.260652655,0.258893221,0.261672433,0.242493277,0.192308699,0.047827869
2035,25,0.244635141,0.240601062,0.238978893,0.239000237,0.216485252,0.17690104,0.261463812,0.259698902,0.262486763,0.243247921,0.192907167,0.047641563
